date,locality,state,location_detail,online,type,title,macroevent,actors,organizations,participants,claims,valence,issues,issues_major,size_text,size_low,size_high,size_mean,size_cat,arrests,arrests_any,injuries_crowd,injuries_crowd_any,injuries_police,injuries_police_any,property_damage,property_damage_any,chemical_agents,participant_measures,police_measures,participant_deaths,police_deaths,source_1,source_2,source_3,source_4,source_5,source_6,source_7,source_8,source_9,source_10,source_11,source_12,source_13,source_14,source_15,source_16,source_17,source_18,source_19,source_20,source_21,source_22,source_23,source_24,source_25,source_26,source_27,source_28,source_29,source_30,notes,lat,lon,resolved_locality,resolved_county,resolved_state,fips_code
2019-10-01,Opelousas,LA,St. Landry Parish court building,0,Protest,NA,NA,General Protestors,NA,NA,"Other, for criminal justice",0,criminal justice,NA,About a dozen,12,12,12,1,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,https://www.dailyworld.com/story/news/local/2019/10/01/relatives-hit-and-run-krotz-springs-louisiana-teen-victim-protest-outside-courtroom-during-trial/3830636002/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5335302,-92.081509,Opelousas,St. Landry Parish,LA,22097
2022-04-15,Raleigh,NC,Starbucks,0,demonstration,NA,NA,Starbucks Workers United; NC Raise Up,Starbucks Workers United; NC Raise Up,NA,"for collective bargaining rights for Starbucks workers, union busting is disgusting, Raleigh is a union town",0,labor,labor,count video,25,30,28,1,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,https://twitter.com/pblest/status/1514967585409937412,https://twitter.com/RaiseUptheSouth/status/1514968574011613190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.7795897,-78.6381787,Raleigh,Wake County,NC,37183
2021-07-27,San Francisco,CA,San Francisco City Hall,0,rally,NA,NA,Interfaith Movement for Human Integrity,Interfaith Movement for Human Integrity,NA,"for passage of a city Board of Supervisors Resolution calling on the federal government to end the Title 42 border closure, for immigrants' rights",1,immigration,immigration,count pic,15,20,18,1,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,https://twitter.com/movementphotog/status/1420178236592431112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.7749295,-122.4194155,San Francisco,San Francisco County,CA,06075
2020-10-17,Corvallis,OR,Corvallis Municipal Courthouse,0,protest,NA,NA,general protesters,NA,NA,"for women's rights, for voting rights, against racism, for action against climate change",1,democracy; environment; racism; women's rights,NA,count pic,20,40,30,1,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,http://www.orangemedianetwork.com/daily_barometer/women-need-to-rise-up-and-make-sure-their-voices-are-counted-at-local-women/article_4bdba0b0-1490-11eb-a19b-3f918391c94f.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Women's March; Belligerent Optimists-Women Rise Up for Justice; Women's Rally for Social Justice,44.564566,-123.262044,Corvallis,Benton County,OR,41003
2021-09-13,Amherst,MA,"Student Union, University of Massachusetts Amherst",0,protest,NA,NA,PETA,PETA,NA,"against science experiments than abuse and kill animals, against menopause experiments on marmosets",0,science,science,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,https://www.masslive.com/news/2021/09/at-umass-amherst-casey-affleck-and-peta-protest-animal-testing-that-the-university-says-is-humane.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,feat. Casey Affleck,42.373222,-72.519854,Amherst,Hampshire County,MA,25015
2020-06-10,Oakland,CA,Lake Merritt Amphitheater,0,protest,NA,NA,general protesters,NA,NA,antiracism; against police brutality,1,policing; racism,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,http://oaklandprotest.today/6-10-20.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Protest for Racial Justice,37.8043514,-122.2711639,Oakland,Alameda County,CA,06001
2022-08-05,Bellingham,WA,Magnolia St and Cornwall Ave,0,vigil,Bellingham-Whatcom Peace Vigil,NA,Whatcom Peace & Justice Center,Whatcom Peace & Justice Center,NA,"for peace, against war",0,military,military,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,https://www.whatcompjc.org/friday-afternoon-peace-vigil.html,https://www.facebook.com/WhatcomPeaceVigil/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bellingham-Whatcom Peace Vigil every Friday since 1966,48.751911,-122.478685,Bellingham,Whatcom County,WA,53073
2018-05-02,Seneca,SC,Seneca HS,0,walkout,NA,NA,students,NA,NA,pro-gun rights,2,guns,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,teapartypatriots.org,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.6856555,-82.9532036,Seneca,Oconee County,SC,45073
2018-02-10,Seattle,WA,University of Washington,0,protest,NA,NA,general protestors,NA,NA,counter-protest,1,NA,NA,about 160,160,160,160,2,5,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,http://www.king5.com/article/news/local/5-arrested-after-skirmishes-at-uw-college-republican-rally/281-517101622,https://www.seattlepi.com/seattlenews/article/Right-wing-group-rallies-on-University-of-12604078.php,https://www.seattletimes.com/seattle-news/follow-patriot-prayers-controversial-rally-at-university-of-washington-today/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.6061389,-122.3328481,Seattle,King County,WA,53033
2021-12-17,Santa Fe Springs,CA,"Jon Donaire Desserts, 12805 Busch Pl",0,strike; picket,NA,NA,BCTGM Local 37,BCTGM Local 37,NA,against forced overtime for workers at Jon Donaire Desserts,0,labor,labor,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,https://twitter.com/rainey_l/status/1466829139466338304,https://twitter.com/ILRLaborAction/status/1466864245518348294,https://www.leftvoice.org/factory-workers-strike-against-poverty-pay-abuse-by-management-at-rich-products-plant-in-l-a-area/,https://twitter.com/MorePerfectUS/status/1471184199252074501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9472359,-118.0853451,Santa Fe Springs,Los Angeles County,CA,06037
