wdi_gdp_pcap,wdi_total_pop,wdi_unemployment,wdi_gdp_growth,wdi_resource_rents,wdi_oil_rents,wdi_life_expectancy,e_regionpol_6C,v2cltrnslw,country_text_id,v2xme_altinf,v2clacfree,v2clkill,v2clrspct,v2clfmove,v2clprptyw,v2svdomaut,v2xnp_regcorr,v2xpe_exlsocgr,v2csrlgrep,v2meharjrn,v2pepwrsoc,v2dlencmps,v2xel_frefair,v2elsnlsff,v2xdl_delib,v2xeg_eqdr,v2clpolcl,v2peedueq,v2peasbgen,v2smpolsoc,v2xpe_exlgender,v2clsocgrp,v2xpe_exlecon,v2cacamps,v2caassemb,v2caautmob,v2castate,v2csantimv,v2lginvstp,v2xcl_disc,v2elsuffrage,v2x_delibdem,v2xcl_rol,v2x_egaldem,v2x_elecreg,v2exrescon,v2elrsthos,v2svindep,v2x_pubcorr,v2x_execorr,v2elprescons,v2elprescumul,v2x_clphy,v2x_accountability,v2xcl_prpty,v2x_regime,v2xex_elecreg,v2x_mpi,v2strenarm,v2ex_hosw,v2peapssoc,e_regionpol,v2clacjust,v2clrelig,v2smorgviol,v2x_ex_hereditary,v2x_ex_military,v2x_ex_party,v2x_ex_direlect,v2x_ex_confidence,v2xpe_exlpol,v2meslfcen,v2x_clpriv,v2peasbegeo,v2regdur,v2x_libdem,v2cltort,v2csreprss,v2exagehos,v2xcl_dmove,v2xcl_slave,v2ellocgov,v2xcl_acjst,v2x_liberal,v2expathhs,v2x_egal,v2xlg_elecreg,cname,year,any_attacks,number_attacks_last_year
604.595148098772,2015828,3.72,-2.39999999921721,11.1515860354561,0,59.999,4,0.55,GNB,0.641,1.546,1.643,-1.124,0.633,0.996,0.427,0.795,0.613,1.774,0.263,0.067,0.445,0.646,0.021,0.399,0.229,1.679,-0.601,-0.033,-0.544,0.497,1.566,0.609,-0.755,1.585,-1.13,0.696,-1.129,0.313,0.816,100,0.261,0.713,0.28,1,0.408,1,1,0.88,0.796,4,13,0.858,0.654,0.708,2,1,0.298,0.077,0,-0.521,4,1.13,2.175,0.897,0,0.125,0.125,0,0.667,0.498,0.663,0.841,-0.975,2018,0.337,1.555,0.5,1972,0.872,0.874,1,0.404,0.572,7,0.441,1,Guinea-Bissau,2020,no,0
9126.79142451246,797202,15.69,43.479651716849,13.8985430832365,7.3763575857274,68.486,2,0.68,GUY,0.77,2.04,2.567,0.609,1.123,1.963,0.778,0.422,0.37,2.102,1.476,0.972,0.512,0.534,1.946,0.614,0.694,1.449,0.709,1.07,-2.055,0.316,1.143,0.266,0.887,1.685,-0.722,-0.143,-1.649,-0.656,0.945,100,0.38,0.857,0.421,1,0.405,0,1,0.532,0.461,0,1,0.957,0.873,0.861,2,0,0.344,1.387,1,0.471,10,1.179,2.1,1.052,0,0.1,0.1,0,0,0.319,1.2,0.872,1.018,9944,0.405,2.539,1.804,1980,0.894,0.686,1,0.733,0.663,6,0.698,1,Guyana,2020,no,6
1324.28328555251,11306801,15.646,-3.30550547264819,0.577844130610775,0,64.052,2,-1.069,HTI,0.776,1.124,0.196,-1.297,0.881,-0.033,-0.318,0.908,0.717,1.001,0.249,-0.909,-0.776,0.237,-1.317,0.579,0.105,1.246,-1.922,-0.204,-1.641,0.592,-1.106,0.914,0.322,1.039,-1.529,-1.1,1.374,1.363,0.798,100,0.261,0.454,0.112,1,-1.989,1,1,0.671,0.896,5,13,0.668,0.468,0.385,1,1,0.101,-1.403,0.5,-1.112,2,-1.206,1.589,0.019,0,0.062,0.062,0.5,0.333,0.431,0.591,0.65,-1.522,4979,0.223,1.078,0.111,1968,0.797,0.428,1,0.245,0.478,7,0.164,1,Haiti,2020,no,2
2190.97436850337,10121763,10.68,-8.96476018404584,1.23326098347167,4.45541908214536e-4,71.462,2,-0.941,HND,0.631,1.295,1.05,-0.004,1.205,1.03,0.779,0.78,0.448,2.046,0.229,0.635,-1.222,0.186,-0.38,0.574,0.158,1.062,-1.38,1.044,-2.301,0.445,0.076,0.633,1.002,1.699,-2.147,-2.146,0.058,-0.614,0.854,100,0.258,0.619,0.152,1,0.318,1,1,0.853,0.759,10,23,0.757,0.421,0.795,1,1,0.095,-0.064,1,-0.931,2,-0.624,1.739,1.313,0,0.4,0.2,1,0.667,0.33,0.406,0.833,0.511,3625,0.235,1.072,1.735,1968,0.823,0.747,1,0.304,0.505,7,0.272,1,Honduras,2020,no,2
41451.2867158741,7481000,5.81,-6.54479911001556,8.87798126199827e-4,1.1978734728514e-4,85.4975609756098,6,0.155,HKG,0.639,0.261,2.166,0.332,0.807,2.063,-1.255,0.094,0.202,0.558,0.042,-1.269,0.201,0.674,0.931,0.264,0.881,-0.019,2.382,2.278,-1.844,0.081,0.753,0.192,3.49,-1.787,-0.003,-0.579,-0.348,-1.479,0.545,100,0.114,0.788,0.235,1,0.003,1,0,0.106,0.169,0,0,0.831,0.187,0.877,0,0,0,0.749,1,1.652,6,1.594,0.669,-1.267,0,0,0.8,0,0,0.44,-0.742,0.822,1.589,0,0.203,0.75,-0.784,1957,0.88,0.882,0,0.746,0.549,2,0.65,1,Hong Kong SAR China,2020,no,0
14430.4768288416,9750149,4.25,-4.53555083281567,0.204655214271402,0.0833512506762371,75.5682926829269,1,-0.055,HUN,0.42,-0.013,3.141,0.76,1.094,2.517,1.852,0.692,0.219,1.151,0.693,0.776,-0.206,0.62,0.046,0.431,0.637,1.878,0.744,3.157,-2.986,0.063,0.985,0.135,2.518,0.672,-0.217,-0.542,-0.148,0.445,0.802,100,0.243,0.887,0.333,1,0.844,1,1,0.23,0.75,0,0,0.978,0.489,0.926,1,0,0.215,1.54,0,1.592,1,1.107,1.222,1.139,0,0,0.083,0,0.667,0.246,-0.315,0.869,1.614,0,0.356,2.814,0.181,1959,0.929,0.721,1,0.864,0.711,6,0.658,1,Hungary,2020,no,0
52486.039054903304,366463,5.48,-7.2156705720011,1.0879409889394e-4,0,83.0634146341463,5,2.183,ISL,0.922,1.968,3.246,2.168,2.045,3.165,1.565,0.014,0.057,2.355,2.257,1.29,2.746,0.929,2.127,0.939,0.976,2.87,3.318,2.103,0.507,0.082,1.665,0.041,-1.045,2.233,-2.053,-2.67,-1.375,1.088,0.93,100,0.789,0.977,0.769,1,1.716,1,1,0.01,0.02,9,9,0.99,1.483,0.966,3,1,0.772,-1.156,0,3.158,5,2.105,2.189,0.844,0,0,0.214,0,1,0.056,0.87,0.953,1.386,27590,0.779,3.67,2.853,1968,0.948,0.841,1,0.962,0.919,7,0.901,1,Iceland,2020,no,0
1813.53455273221,1396387127,7.86,-5.83105322050864,1.78466920695081,0.144343868543637,70.15,6,0.958,IND,0.599,-0.478,0.117,-0.874,1.078,1.183,2.182,0.517,0.598,0.032,-0.661,0.257,0.927,0.51,-0.919,0.572,0.35,0.765,-1.034,0.386,-1.364,0.482,0.284,0.434,1.342,0.458,-0.3,-0.018,0.003,0.553,0.598,100,0.271,0.628,0.247,1,1.272,1,1,0.683,0.451,0,0,0.594,0.445,0.733,1,0,0.15,1.616,0,-0.176,8,0.908,-0.186,-2.096,0,0,0.222,0,1,0.269,0.023,0.624,-0.486,25541,0.31,0.665,-1.327,1945,0.627,0.714,1,0.646,0.68,6,0.507,1,India,2020,yes,450
3780.12163441585,271857970,4.25,-2.06551182934165,2.43866732275102,0.287189045702826,68.808,6,0.194,IDN,0.861,1.003,0.731,0.512,1.783,1.045,0.942,0.769,0.576,0.064,0.354,0.974,0.906,0.705,-0.777,0.903,0.375,-0.621,-0.669,1.212,-0.3,0.328,-0.246,0.636,0.183,0.764,0.178,0.508,0.059,0.462,0.811,100,0.529,0.684,0.313,1,0.63,1,1,0.833,0.725,5,5,0.712,0.985,0.717,2,1,0.387,0.738,1,0.217,7,-0.293,0.203,-1.348,0,0.25,0.15,1,0,0.53,1.149,0.733,-0.37,6352,0.429,0.974,0.846,1961,0.793,0.697,1,0.562,0.686,7,0.434,1,Indonesia,2020,yes,19
5141.08477649301,87290193,9.69,3.33028845926594,23.2391718001181,13.2733495355914,74.832,3,0.479,IRN,0.353,-1.117,-0.677,0.597,-0.694,1.15,1.195,0.756,0.628,-0.934,-0.511,-0.194,0.247,0.302,0.433,0.411,0.66,-0.997,0.543,-0.739,-1.18,0.856,-0.688,0.517,0.747,-1.162,1.627,0.67,-1.023,0.61,0.377,100,0.137,0.438,0.176,1,-0.575,1,1,0.686,0.689,12,13,0.302,-0.332,0.725,1,1,0.005,-0.209,0.5,0.912,3,1.236,-1.847,-1.311,0,0.156,0.125,0.5,0.333,0.78,-0.009,0.395,0.033,14884,0.143,-0.754,-1.636,1939,0.509,0.739,1,0.514,0.435,8,0.549,1,Iran,2020,yes,7
