Currency,date,value,fmt_date,value_numeric
Omani rial,"March 02,2023",0.384500,2023-03-02,0.3845
Omani rial,"March 03,2023",NA,2023-03-03,NA
Omani rial,"March 06,2023",0.384500,2023-03-06,0.3845
Omani rial,"March 07,2023",0.384500,2023-03-07,0.3845
Omani rial,"March 08,2023",0.384500,2023-03-08,0.3845
Omani rial,"March 09,2023",0.384500,2023-03-09,0.3845
Omani rial,"March 10,2023",NA,2023-03-10,NA
Omani rial,"March 13,2023",0.384500,2023-03-13,0.3845
Omani rial,"March 14,2023",0.384500,2023-03-14,0.3845
Omani rial,"March 15,2023",0.384500,2023-03-15,0.3845
Omani rial,"March 16,2023",0.384500,2023-03-16,0.3845
Omani rial,"March 17,2023",NA,2023-03-17,NA
Omani rial,"March 20,2023",0.384500,2023-03-20,0.3845
Omani rial,"March 21,2023",0.384500,2023-03-21,0.3845
Omani rial,"March 22,2023",0.384500,2023-03-22,0.3845
Omani rial,"March 23,2023",0.384500,2023-03-23,0.3845
Omani rial,"March 24,2023",NA,2023-03-24,NA
Omani rial,"March 27,2023",0.384500,2023-03-27,0.3845
Omani rial,"March 28,2023",NA,2023-03-28,NA
Omani rial,"March 29,2023",0.384500,2023-03-29,0.3845
Omani rial,"March 30,2023",0.384500,2023-03-30,0.3845
Omani rial,"March 31,2023",0.384500,2023-03-31,0.3845
Peruvian sol,"March 01,2023",3.779000,2023-03-01,3.779
Peruvian sol,"March 02,2023",3.779000,2023-03-02,3.779
Peruvian sol,"March 03,2023",3.782000,2023-03-03,3.782
Peruvian sol,"March 06,2023",3.784000,2023-03-06,3.784
Peruvian sol,"March 07,2023",3.784000,2023-03-07,3.784
Peruvian sol,"March 08,2023",3.784000,2023-03-08,3.784
Peruvian sol,"March 09,2023",3.788000,2023-03-09,3.788
Peruvian sol,"March 10,2023",NA,2023-03-10,NA
Peruvian sol,"March 13,2023",3.798000,2023-03-13,3.798
Peruvian sol,"March 14,2023",3.785000,2023-03-14,3.785
Peruvian sol,"March 15,2023",3.804000,2023-03-15,3.804
Peruvian sol,"March 16,2023",3.796000,2023-03-16,3.796
Peruvian sol,"March 17,2023",3.792000,2023-03-17,3.792
Peruvian sol,"March 20,2023",3.779000,2023-03-20,3.779
Peruvian sol,"March 21,2023",3.765000,2023-03-21,3.765
Peruvian sol,"March 22,2023",3.767000,2023-03-22,3.767
Peruvian sol,"March 23,2023",3.762000,2023-03-23,3.762
Peruvian sol,"March 24,2023",3.764000,2023-03-24,3.764
Peruvian sol,"March 27,2023",3.765000,2023-03-27,3.765
Peruvian sol,"March 28,2023",3.763000,2023-03-28,3.763
Peruvian sol,"March 29,2023",3.755000,2023-03-29,3.755
Peruvian sol,"March 30,2023",3.755000,2023-03-30,3.755
Peruvian sol,"March 31,2023",3.758000,2023-03-31,3.758
Philippine peso,"March 01,2023",55.210000,2023-03-01,55.21
Philippine peso,"March 02,2023",55.077000,2023-03-02,55.077
Philippine peso,"March 03,2023",54.984000,2023-03-03,54.984
Philippine peso,"March 06,2023",54.833000,2023-03-06,54.833
Philippine peso,"March 07,2023",54.844000,2023-03-07,54.844
Philippine peso,"March 08,2023",55.081000,2023-03-08,55.081
Philippine peso,"March 09,2023",55.397000,2023-03-09,55.397
Philippine peso,"March 10,2023",55.238000,2023-03-10,55.238
Philippine peso,"March 13,2023",55.203000,2023-03-13,55.203
Philippine peso,"March 14,2023",54.919000,2023-03-14,54.919
Philippine peso,"March 15,2023",55.025000,2023-03-15,55.025
Philippine peso,"March 16,2023",54.861000,2023-03-16,54.861
Philippine peso,"March 17,2023",54.972000,2023-03-17,54.972
Philippine peso,"March 20,2023",54.678000,2023-03-20,54.678
Philippine peso,"March 21,2023",54.653000,2023-03-21,54.653
Philippine peso,"March 22,2023",54.353000,2023-03-22,54.353
Philippine peso,"March 23,2023",54.519000,2023-03-23,54.519
Philippine peso,"March 24,2023",54.451000,2023-03-24,54.451
Philippine peso,"March 27,2023",54.322000,2023-03-27,54.322
Philippine peso,"March 28,2023",54.439000,2023-03-28,54.439
Philippine peso,"March 29,2023",54.376000,2023-03-29,54.376
Philippine peso,"March 30,2023",54.434000,2023-03-30,54.434
Philippine peso,"March 31,2023",54.429000,2023-03-31,54.429
Polish zloty,"March 01,2023",4.409400,2023-03-01,4.4094
Polish zloty,"March 02,2023",4.400200,2023-03-02,4.4002
Polish zloty,"March 03,2023",4.434100,2023-03-03,4.4341
Polish zloty,"March 06,2023",4.428900,2023-03-06,4.4289
Polish zloty,"March 07,2023",4.398100,2023-03-07,4.3981
Polish zloty,"March 08,2023",4.462600,2023-03-08,4.4626
Polish zloty,"March 09,2023",4.435600,2023-03-09,4.4356
Polish zloty,"March 10,2023",4.426600,2023-03-10,4.4266
Polish zloty,"March 13,2023",4.390600,2023-03-13,4.3906
Polish zloty,"March 14,2023",4.379300,2023-03-14,4.3793
Polish zloty,"March 15,2023",4.403000,2023-03-15,4.403
Polish zloty,"March 16,2023",4.424800,2023-03-16,4.4248
Polish zloty,"March 17,2023",4.420200,2023-03-17,4.4202
Polish zloty,"March 20,2023",4.413000,2023-03-20,4.413
Polish zloty,"March 21,2023",NA,2023-03-21,NA
Polish zloty,"March 22,2023",4.346700,2023-03-22,4.3467
Polish zloty,"March 23,2023",4.301100,2023-03-23,4.3011
Polish zloty,"March 24,2023",NA,2023-03-24,NA
Polish zloty,"March 27,2023",4.351800,2023-03-27,4.3518
Polish zloty,"March 28,2023",4.330000,2023-03-28,4.33
Polish zloty,"March 29,2023",4.324700,2023-03-29,4.3247
Polish zloty,"March 30,2023",4.304300,2023-03-30,4.3043
Polish zloty,"March 31,2023",4.293400,2023-03-31,4.2934
Qatari riyal,"March 01,2023",3.640000,2023-03-01,3.64
Qatari riyal,"March 02,2023",3.640000,2023-03-02,3.64
Qatari riyal,"March 03,2023",NA,2023-03-03,NA
Qatari riyal,"March 06,2023",3.640000,2023-03-06,3.64
Qatari riyal,"March 07,2023",3.640000,2023-03-07,3.64
Qatari riyal,"March 08,2023",3.640000,2023-03-08,3.64
Qatari riyal,"March 09,2023",3.640000,2023-03-09,3.64
Qatari riyal,"March 10,2023",NA,2023-03-10,NA
Qatari riyal,"March 13,2023",3.640000,2023-03-13,3.64
Qatari riyal,"March 14,2023",3.640000,2023-03-14,3.64
Qatari riyal,"March 15,2023",3.640000,2023-03-15,3.64
Qatari riyal,"March 16,2023",3.640000,2023-03-16,3.64
Qatari riyal,"March 17,2023",NA,2023-03-17,NA
Qatari riyal,"March 20,2023",3.640000,2023-03-20,3.64
Qatari riyal,"March 21,2023",3.640000,2023-03-21,3.64
Qatari riyal,"March 22,2023",3.640000,2023-03-22,3.64
Qatari riyal,"March 23,2023",3.640000,2023-03-23,3.64
Qatari riyal,"March 24,2023",NA,2023-03-24,NA
Qatari riyal,"March 27,2023",3.640000,2023-03-27,3.64
Qatari riyal,"March 28,2023",3.640000,2023-03-28,3.64
Qatari riyal,"March 29,2023",3.640000,2023-03-29,3.64
Qatari riyal,"March 30,2023",3.640000,2023-03-30,3.64
Qatari riyal,"March 31,2023",NA,2023-03-31,NA
Russian ruble,"March 01,2023",75.251300,2023-03-01,75.2513
Russian ruble,"March 02,2023",75.472900,2023-03-02,75.4729
Russian ruble,"March 03,2023",75.459200,2023-03-03,75.4592
Russian ruble,"March 06,2023",75.472800,2023-03-06,75.4728
Russian ruble,"March 07,2023",75.457700,2023-03-07,75.4577
Russian ruble,"March 08,2023",NA,2023-03-08,NA
Russian ruble,"March 09,2023",75.902800,2023-03-09,75.9028
Russian ruble,"March 10,2023",75.940600,2023-03-10,75.9406
Russian ruble,"March 13,2023",75.460900,2023-03-13,75.4609
Russian ruble,"March 14,2023",75.192700,2023-03-14,75.1927
Russian ruble,"March 15,2023",75.745700,2023-03-15,75.7457
Russian ruble,"March 16,2023",76.409500,2023-03-16,76.4095
Russian ruble,"March 17,2023",76.604400,2023-03-17,76.6044
Russian ruble,"March 20,2023",77.242200,2023-03-20,77.2422
Russian ruble,"March 21,2023",76.837300,2023-03-21,76.8373
Russian ruble,"March 22,2023",76.956100,2023-03-22,76.9561
Russian ruble,"March 23,2023",76.307200,2023-03-23,76.3072
Russian ruble,"March 24,2023",76.447900,2023-03-24,76.4479
Russian ruble,"March 27,2023",76.566200,2023-03-27,76.5662
Russian ruble,"March 28,2023",NA,2023-03-28,NA
Russian ruble,"March 29,2023",NA,2023-03-29,NA
Russian ruble,"March 30,2023",77.086300,2023-03-30,77.0863
Russian ruble,"March 31,2023",77.323300,2023-03-31,77.3233
Saudi Arabian riyal,"March 01,2023",NA,2023-03-01,NA
Saudi Arabian riyal,"March 02,2023",3.750000,2023-03-02,3.75
Saudi Arabian riyal,"March 03,2023",NA,2023-03-03,NA
Saudi Arabian riyal,"March 06,2023",3.750000,2023-03-06,3.75
Saudi Arabian riyal,"March 07,2023",3.750000,2023-03-07,3.75
Saudi Arabian riyal,"March 08,2023",3.750000,2023-03-08,3.75
Saudi Arabian riyal,"March 09,2023",3.750000,2023-03-09,3.75
Saudi Arabian riyal,"March 10,2023",NA,2023-03-10,NA
Saudi Arabian riyal,"March 13,2023",3.750000,2023-03-13,3.75
Saudi Arabian riyal,"March 14,2023",3.750000,2023-03-14,3.75
Saudi Arabian riyal,"March 15,2023",3.750000,2023-03-15,3.75
Saudi Arabian riyal,"March 16,2023",3.750000,2023-03-16,3.75
Saudi Arabian riyal,"March 17,2023",NA,2023-03-17,NA
Saudi Arabian riyal,"March 20,2023",3.750000,2023-03-20,3.75
Saudi Arabian riyal,"March 21,2023",3.750000,2023-03-21,3.75
Saudi Arabian riyal,"March 22,2023",3.750000,2023-03-22,3.75
Saudi Arabian riyal,"March 23,2023",3.750000,2023-03-23,3.75
Saudi Arabian riyal,"March 24,2023",NA,2023-03-24,NA
Saudi Arabian riyal,"March 27,2023",3.750000,2023-03-27,3.75
Saudi Arabian riyal,"March 28,2023",3.750000,2023-03-28,3.75
Saudi Arabian riyal,"March 29,2023",3.750000,2023-03-29,3.75
Saudi Arabian riyal,"March 30,2023",3.750000,2023-03-30,3.75
Saudi Arabian riyal,"March 31,2023",NA,2023-03-31,NA
Singapore dollar,"March 01,2023",1.346600,2023-03-01,1.3466
Singapore dollar,"March 02,2023",1.344800,2023-03-02,1.3448
Singapore dollar,"March 03,2023",1.347500,2023-03-03,1.3475
Singapore dollar,"March 06,2023",1.344000,2023-03-06,1.344
Singapore dollar,"March 07,2023",1.344700,2023-03-07,1.3447
Singapore dollar,"March 08,2023",1.356100,2023-03-08,1.3561
Singapore dollar,"March 09,2023",1.353800,2023-03-09,1.3538
Singapore dollar,"March 10,2023",1.355800,2023-03-10,1.3558
Singapore dollar,"March 13,2023",1.344200,2023-03-13,1.3442
Singapore dollar,"March 14,2023",1.348000,2023-03-14,1.348
Singapore dollar,"March 15,2023",1.342000,2023-03-15,1.342
Singapore dollar,"March 16,2023",1.350800,2023-03-16,1.3508
Singapore dollar,"March 17,2023",1.342100,2023-03-17,1.3421
Singapore dollar,"March 20,2023",1.341900,2023-03-20,1.3419
Singapore dollar,"March 21,2023",1.338800,2023-03-21,1.3388
Singapore dollar,"March 22,2023",1.336800,2023-03-22,1.3368
Singapore dollar,"March 23,2023",1.325000,2023-03-23,1.325
Singapore dollar,"March 24,2023",1.328000,2023-03-24,1.328
Singapore dollar,"March 27,2023",1.332800,2023-03-27,1.3328
Singapore dollar,"March 28,2023",1.328400,2023-03-28,1.3284
Singapore dollar,"March 29,2023",1.328900,2023-03-29,1.3289
Singapore dollar,"March 30,2023",1.330300,2023-03-30,1.3303
Singapore dollar,"March 31,2023",1.327000,2023-03-31,1.327
South African rand,"March 01,2023",18.157500,2023-03-01,18.1575
South African rand,"March 02,2023",18.184700,2023-03-02,18.1847
South African rand,"March 03,2023",18.153700,2023-03-03,18.1537
South African rand,"March 06,2023",18.199400,2023-03-06,18.1994
South African rand,"March 07,2023",18.279800,2023-03-07,18.2798
South African rand,"March 08,2023",18.670600,2023-03-08,18.6706
South African rand,"March 09,2023",18.626700,2023-03-09,18.6267
South African rand,"March 10,2023",18.458500,2023-03-10,18.4585
South African rand,"March 13,2023",18.142800,2023-03-13,18.1428
South African rand,"March 14,2023",18.205200,2023-03-14,18.2052
South African rand,"March 15,2023",18.229400,2023-03-15,18.2294
South African rand,"March 16,2023",18.349600,2023-03-16,18.3496
South African rand,"March 17,2023",18.314900,2023-03-17,18.3149
South African rand,"March 20,2023",18.542700,2023-03-20,18.5427
South African rand,"March 21,2023",NA,2023-03-21,NA
South African rand,"March 22,2023",18.531600,2023-03-22,18.5316
South African rand,"March 23,2023",18.128000,2023-03-23,18.128
South African rand,"March 24,2023",18.164700,2023-03-24,18.1647
South African rand,"March 27,2023",18.301700,2023-03-27,18.3017
South African rand,"March 28,2023",18.285900,2023-03-28,18.2859
South African rand,"March 29,2023",18.144200,2023-03-29,18.1442
South African rand,"March 30,2023",18.083600,2023-03-30,18.0836
South African rand,"March 31,2023",17.813900,2023-03-31,17.8139
Swedish krona,"March 01,2023",10.400700,2023-03-01,10.4007
Swedish krona,"March 02,2023",10.495700,2023-03-02,10.4957
Swedish krona,"March 03,2023",10.481100,2023-03-03,10.4811
Swedish krona,"March 06,2023",10.481300,2023-03-06,10.4813
Swedish krona,"March 07,2023",10.452200,2023-03-07,10.4522
Swedish krona,"March 08,2023",10.735200,2023-03-08,10.7352
Swedish krona,"March 09,2023",10.694600,2023-03-09,10.6946
Swedish krona,"March 10,2023",10.765700,2023-03-10,10.7657
Swedish krona,"March 13,2023",10.632600,2023-03-13,10.6326
Swedish krona,"March 14,2023",10.617600,2023-03-14,10.6176
Swedish krona,"March 15,2023",10.412000,2023-03-15,10.412
Swedish krona,"March 16,2023",10.554500,2023-03-16,10.5545
Swedish krona,"March 17,2023",10.455200,2023-03-17,10.4552
Swedish krona,"March 20,2023",10.526500,2023-03-20,10.5265
Swedish krona,"March 21,2023",10.350100,2023-03-21,10.3501
Swedish krona,"March 22,2023",10.349900,2023-03-22,10.3499
Swedish krona,"March 23,2023",10.253500,2023-03-23,10.2535
Swedish krona,"March 24,2023",10.370500,2023-03-24,10.3705
Swedish krona,"March 27,2023",10.398200,2023-03-27,10.3982
Swedish krona,"March 28,2023",10.321700,2023-03-28,10.3217
Swedish krona,"March 29,2023",10.376200,2023-03-29,10.3762
Swedish krona,"March 30,2023",10.427100,2023-03-30,10.4271
Swedish krona,"March 31,2023",10.353900,2023-03-31,10.3539
Swiss franc,"March 01,2023",0.935900,2023-03-01,0.9359
Swiss franc,"March 02,2023",0.940850,2023-03-02,0.94085
Swiss franc,"March 03,2023",0.938850,2023-03-03,0.93885
Swiss franc,"March 06,2023",0.935050,2023-03-06,0.93505
Swiss franc,"March 07,2023",0.933850,2023-03-07,0.93385
Swiss franc,"March 08,2023",0.943200,2023-03-08,0.9432
Swiss franc,"March 09,2023",0.937450,2023-03-09,0.93745
Swiss franc,"March 10,2023",0.927600,2023-03-10,0.9276
Swiss franc,"March 13,2023",0.914200,2023-03-13,0.9142
Swiss franc,"March 14,2023",0.911750,2023-03-14,0.91175
Swiss franc,"March 15,2023",0.922250,2023-03-15,0.92225
Swiss franc,"March 16,2023",0.927200,2023-03-16,0.9272
Swiss franc,"March 17,2023",0.927650,2023-03-17,0.92765
Swiss franc,"March 20,2023",0.927050,2023-03-20,0.92705
Swiss franc,"March 21,2023",0.923700,2023-03-21,0.9237
Swiss franc,"March 22,2023",0.922400,2023-03-22,0.9224
Swiss franc,"March 23,2023",0.916550,2023-03-23,0.91655
Swiss franc,"March 24,2023",0.920000,2023-03-24,0.92
Swiss franc,"March 27,2023",0.916200,2023-03-27,0.9162
Swiss franc,"March 28,2023",0.917550,2023-03-28,0.91755
Swiss franc,"March 29,2023",0.917950,2023-03-29,0.91795
Swiss franc,"March 30,2023",0.914900,2023-03-30,0.9149
Swiss franc,"March 31,2023",0.917350,2023-03-31,0.91735
Thai baht,"March 01,2023",35.026000,2023-03-01,35.026
Thai baht,"March 02,2023",34.861000,2023-03-02,34.861
Thai baht,"March 03,2023",34.761000,2023-03-03,34.761
Thai baht,"March 06,2023",NA,2023-03-06,NA
Thai baht,"March 07,2023",34.537000,2023-03-07,34.537
Thai baht,"March 08,2023",35.110000,2023-03-08,35.11
Thai baht,"March 09,2023",35.068000,2023-03-09,35.068
Thai baht,"March 10,2023",35.075000,2023-03-10,35.075
Thai baht,"March 13,2023",34.556000,2023-03-13,34.556
Thai baht,"March 14,2023",34.521000,2023-03-14,34.521
Thai baht,"March 15,2023",34.513000,2023-03-15,34.513
Thai baht,"March 16,2023",34.501000,2023-03-16,34.501
Thai baht,"March 17,2023",34.244000,2023-03-17,34.244
Thai baht,"March 20,2023",34.086000,2023-03-20,34.086
Thai baht,"March 21,2023",34.222000,2023-03-21,34.222
Thai baht,"March 22,2023",34.485000,2023-03-22,34.485
Thai baht,"March 23,2023",34.118000,2023-03-23,34.118
Thai baht,"March 24,2023",34.108000,2023-03-24,34.108
Thai baht,"March 27,2023",34.305000,2023-03-27,34.305
Thai baht,"March 28,2023",34.298000,2023-03-28,34.298
Thai baht,"March 29,2023",34.296000,2023-03-29,34.296
Thai baht,"March 30,2023",34.278000,2023-03-30,34.278
Thai baht,"March 31,2023",34.095000,2023-03-31,34.095
Trinidadian dollar,"March 01,2023",6.729500,2023-03-01,6.7295
Trinidadian dollar,"March 02,2023",6.729300,2023-03-02,6.7293
Trinidadian dollar,"March 03,2023",6.721200,2023-03-03,6.7212
Trinidadian dollar,"March 06,2023",6.737600,2023-03-06,6.7376
Trinidadian dollar,"March 07,2023",6.744200,2023-03-07,6.7442
Trinidadian dollar,"March 08,2023",6.754000,2023-03-08,6.754
Trinidadian dollar,"March 09,2023",6.766600,2023-03-09,6.7666
Trinidadian dollar,"March 10,2023",NA,2023-03-10,NA
Trinidadian dollar,"March 13,2023",6.752000,2023-03-13,6.752
Trinidadian dollar,"March 14,2023",6.748400,2023-03-14,6.7484
Trinidadian dollar,"March 15,2023",6.747500,2023-03-15,6.7475
Trinidadian dollar,"March 16,2023",6.746600,2023-03-16,6.7466
Trinidadian dollar,"March 17,2023",6.737100,2023-03-17,6.7371
Trinidadian dollar,"March 20,2023",6.755300,2023-03-20,6.7553
Trinidadian dollar,"March 21,2023",6.766000,2023-03-21,6.766
Trinidadian dollar,"March 22,2023",6.775300,2023-03-22,6.7753
Trinidadian dollar,"March 23,2023",6.777600,2023-03-23,6.7776
Trinidadian dollar,"March 24,2023",6.778200,2023-03-24,6.7782
Trinidadian dollar,"March 27,2023",6.762900,2023-03-27,6.7629
Trinidadian dollar,"March 28,2023",6.769400,2023-03-28,6.7694
Trinidadian dollar,"March 29,2023",6.746000,2023-03-29,6.746
Trinidadian dollar,"March 30,2023",NA,2023-03-30,NA
Trinidadian dollar,"March 31,2023",6.748400,2023-03-31,6.7484
U.A.E. dirham,"March 01,2023",3.672500,2023-03-01,3.6725
U.A.E. dirham,"March 02,2023",NA,2023-03-02,NA
U.A.E. dirham,"March 03,2023",NA,2023-03-03,NA
U.A.E. dirham,"March 06,2023",3.672500,2023-03-06,3.6725
U.A.E. dirham,"March 07,2023",3.672500,2023-03-07,3.6725
U.A.E. dirham,"March 08,2023",3.672500,2023-03-08,3.6725
U.A.E. dirham,"March 09,2023",3.672500,2023-03-09,3.6725
U.A.E. dirham,"March 10,2023",NA,2023-03-10,NA
U.A.E. dirham,"March 13,2023",3.672500,2023-03-13,3.6725
U.A.E. dirham,"March 14,2023",3.672500,2023-03-14,3.6725
U.A.E. dirham,"March 15,2023",3.672500,2023-03-15,3.6725
U.A.E. dirham,"March 16,2023",3.672500,2023-03-16,3.6725
U.A.E. dirham,"March 17,2023",NA,2023-03-17,NA
U.A.E. dirham,"March 20,2023",3.672500,2023-03-20,3.6725
U.A.E. dirham,"March 21,2023",3.672500,2023-03-21,3.6725
U.A.E. dirham,"March 22,2023",3.672500,2023-03-22,3.6725
U.A.E. dirham,"March 23,2023",3.672500,2023-03-23,3.6725
U.A.E. dirham,"March 24,2023",NA,2023-03-24,NA
U.A.E. dirham,"March 27,2023",3.672500,2023-03-27,3.6725
U.A.E. dirham,"March 28,2023",3.672500,2023-03-28,3.6725
U.A.E. dirham,"March 29,2023",3.672500,2023-03-29,3.6725
U.A.E. dirham,"March 30,2023",3.672500,2023-03-30,3.6725
U.A.E. dirham,"March 31,2023",NA,2023-03-31,NA
Uruguayan peso,"March 01,2023",38.897000,2023-03-01,38.897
Uruguayan peso,"March 02,2023",39.137000,2023-03-02,39.137
Uruguayan peso,"March 03,2023",39.428000,2023-03-03,39.428
Uruguayan peso,"March 06,2023",39.218000,2023-03-06,39.218
Uruguayan peso,"March 07,2023",NA,2023-03-07,NA
Uruguayan peso,"March 08,2023",39.171000,2023-03-08,39.171
Uruguayan peso,"March 09,2023",39.177000,2023-03-09,39.177
Uruguayan peso,"March 10,2023",NA,2023-03-10,NA
Uruguayan peso,"March 13,2023",39.333000,2023-03-13,39.333
Uruguayan peso,"March 14,2023",39.248000,2023-03-14,39.248
Uruguayan peso,"March 15,2023",39.541000,2023-03-15,39.541
Uruguayan peso,"March 16,2023",39.679000,2023-03-16,39.679
Uruguayan peso,"March 17,2023",39.496000,2023-03-17,39.496
Uruguayan peso,"March 20,2023",39.240000,2023-03-20,39.24
Uruguayan peso,"March 21,2023",38.945000,2023-03-21,38.945
Uruguayan peso,"March 22,2023",38.979000,2023-03-22,38.979
Uruguayan peso,"March 23,2023",38.741000,2023-03-23,38.741
Uruguayan peso,"March 24,2023",38.935000,2023-03-24,38.935
Uruguayan peso,"March 27,2023",38.780000,2023-03-27,38.78
Uruguayan peso,"March 28,2023",38.715000,2023-03-28,38.715
Uruguayan peso,"March 29,2023",38.867000,2023-03-29,38.867
Uruguayan peso,"March 30,2023",38.835000,2023-03-30,38.835
Uruguayan peso,"March 31,2023",38.648000,2023-03-31,38.648
Chinese yuan,"April 03,2023",6.888500,2023-04-03,6.8885
Chinese yuan,"April 04,2023",6.880000,2023-04-04,6.88
Chinese yuan,"April 05,2023",NA,2023-04-05,NA
Chinese yuan,"April 06,2023",6.877900,2023-04-06,6.8779
Chinese yuan,"April 07,2023",6.875400,2023-04-07,6.8754
Chinese yuan,"April 10,2023",6.872800,2023-04-10,6.8728
Chinese yuan,"April 11,2023",6.886200,2023-04-11,6.8862
Chinese yuan,"April 12,2023",6.884100,2023-04-12,6.8841
Chinese yuan,"April 13,2023",6.873800,2023-04-13,6.8738
Chinese yuan,"April 14,2023",6.843400,2023-04-14,6.8434
Chinese yuan,"April 17,2023",6.868500,2023-04-17,6.8685
Chinese yuan,"April 18,2023",6.877100,2023-04-18,6.8771
Chinese yuan,"April 19,2023",6.896200,2023-04-19,6.8962
Chinese yuan,"April 20,2023",6.884600,2023-04-20,6.8846
Chinese yuan,"April 21,2023",6.891300,2023-04-21,6.8913
Chinese yuan,"April 24,2023",6.897100,2023-04-24,6.8971
Chinese yuan,"April 25,2023",6.917900,2023-04-25,6.9179
Chinese yuan,"April 26,2023",6.920100,2023-04-26,6.9201
Chinese yuan,"April 27,2023",6.924800,2023-04-27,6.9248
Chinese yuan,"April 28,2023",6.923200,2023-04-28,6.9232
Euro (1),"April 03,2023",1.087000,2023-04-03,1.087
Euro (1),"April 04,2023",1.090100,2023-04-04,1.0901
Euro (1),"April 05,2023",1.094000,2023-04-05,1.094
Euro (1),"April 06,2023",1.091500,2023-04-06,1.0915
Euro (1),"April 07,2023",NA,2023-04-07,NA
Euro (1),"April 10,2023",NA,2023-04-10,NA
Euro (1),"April 11,2023",1.090500,2023-04-11,1.0905
Euro (1),"April 12,2023",1.092200,2023-04-12,1.0922
Euro (1),"April 13,2023",1.101500,2023-04-13,1.1015
Euro (1),"April 14,2023",1.105700,2023-04-14,1.1057
Euro (1),"April 17,2023",1.098100,2023-04-17,1.0981
Euro (1),"April 18,2023",1.097200,2023-04-18,1.0972
Euro (1),"April 19,2023",1.093300,2023-04-19,1.0933
Euro (1),"April 20,2023",1.094400,2023-04-20,1.0944
Euro (1),"April 21,2023",1.097800,2023-04-21,1.0978
Euro (1),"April 24,2023",1.100200,2023-04-24,1.1002
Euro (1),"April 25,2023",1.102200,2023-04-25,1.1022
Euro (1),"April 26,2023",1.103900,2023-04-26,1.1039
Euro (1),"April 27,2023",1.104200,2023-04-27,1.1042
Euro (1),"April 28,2023",1.098100,2023-04-28,1.0981
Japanese yen,"April 03,2023",133.040000,2023-04-03,133.04
Japanese yen,"April 04,2023",132.570000,2023-04-04,132.57
Japanese yen,"April 05,2023",131.520000,2023-04-05,131.52
Japanese yen,"April 06,2023",131.100000,2023-04-06,131.1
Japanese yen,"April 07,2023",131.730000,2023-04-07,131.73
Japanese yen,"April 10,2023",132.600000,2023-04-10,132.6
Japanese yen,"April 11,2023",133.420000,2023-04-11,133.42
Japanese yen,"April 12,2023",133.750000,2023-04-12,133.75
Japanese yen,"April 13,2023",133.220000,2023-04-13,133.22
Japanese yen,"April 14,2023",132.470000,2023-04-14,132.47
Japanese yen,"April 17,2023",133.850000,2023-04-17,133.85
Japanese yen,"April 18,2023",134.420000,2023-04-18,134.42
Japanese yen,"April 19,2023",134.100000,2023-04-19,134.1
Japanese yen,"April 20,2023",134.820000,2023-04-20,134.82
Japanese yen,"April 21,2023",134.240000,2023-04-21,134.24
Japanese yen,"April 24,2023",134.080000,2023-04-24,134.08
Japanese yen,"April 25,2023",134.290000,2023-04-25,134.29
Japanese yen,"April 26,2023",133.740000,2023-04-26,133.74
Japanese yen,"April 27,2023",133.670000,2023-04-27,133.67
Japanese yen,"April 28,2023",134.050000,2023-04-28,134.05
U.K. pound (1),"April 03,2023",1.236500,2023-04-03,1.2365
U.K. pound (1),"April 04,2023",1.250450,2023-04-04,1.25045
U.K. pound (1),"April 05,2023",1.246800,2023-04-05,1.2468
U.K. pound (1),"April 06,2023",1.246050,2023-04-06,1.24605
U.K. pound (1),"April 07,2023",NA,2023-04-07,NA
U.K. pound (1),"April 10,2023",NA,2023-04-10,NA
U.K. pound (1),"April 11,2023",1.245300,2023-04-11,1.2453
U.K. pound (1),"April 12,2023",1.241250,2023-04-12,1.24125
U.K. pound (1),"April 13,2023",1.250600,2023-04-13,1.2506
U.K. pound (1),"April 14,2023",1.251200,2023-04-14,1.2512
U.K. pound (1),"April 17,2023",1.240600,2023-04-17,1.2406
U.K. pound (1),"April 18,2023",1.243900,2023-04-18,1.2439
U.K. pound (1),"April 19,2023",1.241450,2023-04-19,1.24145
U.K. pound (1),"April 20,2023",1.243900,2023-04-20,1.2439
U.K. pound (1),"April 21,2023",1.238450,2023-04-21,1.23845
U.K. pound (1),"April 24,2023",1.244750,2023-04-24,1.24475
U.K. pound (1),"April 25,2023",1.245550,2023-04-25,1.24555
U.K. pound (1),"April 26,2023",1.248600,2023-04-26,1.2486
U.K. pound (1),"April 27,2023",1.247150,2023-04-27,1.24715
U.K. pound (1),"April 28,2023",1.246350,2023-04-28,1.24635
U.S. dollar,"April 03,2023",1.000000,2023-04-03,1
U.S. dollar,"April 04,2023",1.000000,2023-04-04,1
U.S. dollar,"April 05,2023",1.000000,2023-04-05,1
U.S. dollar,"April 06,2023",1.000000,2023-04-06,1
U.S. dollar,"April 07,2023",1.000000,2023-04-07,1
U.S. dollar,"April 10,2023",1.000000,2023-04-10,1
U.S. dollar,"April 11,2023",1.000000,2023-04-11,1
U.S. dollar,"April 12,2023",1.000000,2023-04-12,1
U.S. dollar,"April 13,2023",1.000000,2023-04-13,1
U.S. dollar,"April 14,2023",1.000000,2023-04-14,1
U.S. dollar,"April 17,2023",1.000000,2023-04-17,1
U.S. dollar,"April 18,2023",1.000000,2023-04-18,1
U.S. dollar,"April 19,2023",1.000000,2023-04-19,1
